quote_id,healthcare_index,sent_mean
107,64.0191489361702,0.080324
108,73.2,0.20085
109,77.8,-0.204998
110,59,0.038123
111,55.56,0.193682
112,73.1,0.026101
113,"65.3, 77.8, 77.7",0.041527
114,68,0.288284
115,"71.9, 77.2",0.269077
116,77.8,-0.204998
117,60.8,0.005872
118,68.6,0.113228
119,60.8,0.005872
120,66.0842105263158,0.240416
121,60.8,0.005872
122,"83, 73.2, 86.4",0.162413333333333
123,73.2,0.347237
124,77.7,0.158627
125,68.6,0.113228
126,61.4,0.11136
127,"68, 72.4",-5.06e-4
128,66.0842105263158,0.240416
129,"71.9, 73.2, 77.2, 65.3, 77.8",0.320003174603175
130,60.8,0.005872
131,60.8,0.005872
132,"65.0763157894737, 79.3, 72, 77.8",0.098484
133,60.8,0.005872
134,60.8,0.005872
135,60.8,0.005872
136,60.8,0.005872
137,73.2,0.20085
138,"51.56, 61.4",0.05242
139,68,0.288284
140,"77.7, 72.5, 46.5",0.110989
141,77.2,0.049439
142,79.7,0.106269
143,73.1,0.026101
144,79.7,0.106269
145,"73.1, 68.6",0.068949
146,60.8,0.005872
147,65.0763157894737,0.01022
148,60.8,0.005872
149,65.0763157894737,0.01022
150,60.8,0.005872
151,73.1,0.026101
152,"70.2, 77.2",0.146639
153,68.6,0.113228
154,68,0.288284
155,"71.9, 70.2",0.095193
156,"66.53, 79.7, 83",0.15703
157,60.8,0.005872
158,"71.1, 65, 65.0763157894737, 61.1",-0.0553720588235294
159,63.8,0.08694
160,48.45,0.038279
161,70.4,0.478005
162,60.8,0.005872
163,72,-0.032063
164,67.1,-0.043252
165,69.1,0.009625
166,73.2,0.20085
167,"60.8, 65.4, 77.2",0.271132
168,61.4,0.11136
169,60.8,0.005872
170,57.7,-0.150721
171,"65.3, 77.8, 73.2",0.215561
172,68.6,0.113228
173,"65.0763157894737, 66.0842105263158",0.123783
174,72,-0.032063
175,77.2,0.049439
176,"73.2, 77.8",0.10824
177,"64.12, 66.53, 67.1",0.136486734693878
178,60.8,0.005872
179,60.8,0.005872
180,73.1,0.026101
181,"65.3, 73.2, 77.8, 79.3, 46.5, 77.7",0.11686
182,61.4,0.11136
183,65.0763157894737,0.01022
184,77.2,0.049439
185,77.2,0.049439
186,60.8,0.005872
187,71,0.072533
188,60.8,0.005872
189,68,0.288284
190,60.8,0.005872
191,"68, 73.2",0.173249
192,48.45,0.038279
193,73.1,0.026101
194,"61.4, 66.53",0.107871
195,73.2,0.20085
196,68,0.288284
197,60.8,0.005872
198,"69.1, 68",0.024029
199,77.2,0.049439
200,68.6,0.113228
201,"71.9, 70.2",0.095193
202,77.2,0.049439
203,60.8,0.005872
204,23.86,0.233491
205,60.8,0.005872
206,71.1,0.160342
207,"70.2, 66.53",0.229482
208,"77.2, 65.4",0.057652
209,46.5,0.18831
210,73.1,0.026101
211,64.12,0.197647
212,65.0763157894737,0.01022
213,"71.9, 73.2, 78.5, 72",0.242921739130435
214,68.6,0.113228
215,60.8,0.005872
216,60.8,0.005872
217,69.1,0.009625
218,48.45,0.038279
219,77.2,0.049439
220,40.51,0.211499
221,60.8,0.005872
222,"68.3, 76, 77.5, 73.4",0.248301694915254
223,77.8,-0.204998
224,60.8,0.005872
225,79.7,0.106269
226,68.6,0.113228
227,"65.3, 77.7",0.035471
228,68.3,-0.108925
229,73.2,0.20085
230,65.0763157894737,0.01022
231,66.0842105263158,0.240416
232,60.8,0.005872
233,60.8,0.005872
234,57.6,0.04147
235,66.53,-0.12034347826087
236,"79.7, 86.4",0.08227
237,68.3,-0.108925
238,69.1,0.009625
239,60.8,0.005872
240,60.8,0.005872
241,"70.2, 60.8, 77.2, 59.1",0.144894915254237
242,79.7,0.106269
243,68,0.288284
244,"73.2, 68, 69.1",0.024482
245,73.1,0.026101
246,"72, 54, 77.2, 79.3",0.100748717948718
247,73.1,0.026101
248,60.8,0.005872
249,"77.2, 71.9",0.250265
250,"66.53, 68.3",0.073759
251,65.0763157894737,0.01022
252,60.8,0.005872
253,65.0763157894737,0.01022
254,68,0.288284
255,73.1,0.026101
256,73.1,0.026101
257,"83, 71.9",0.144261
258,67.1,-0.043252
259,68,0.288284
260,73.2,0.20085
261,"79.7, 70.2, 68.3",0.288015
262,60.8,0.005872
263,"60.8, 71.9, 68",0.0673077777777778
264,"65.0763157894737, 72.4, 68.2, 67.3, 61.21",-0.0584862068965517
265,"51.3, 73.2, 86.4, 67.7",0.215897368421053
266,"71.9, 77.2",0.269077
267,68.6,0.113228
268,68,0.288284
269,65.0763157894737,0.01022
270,"79.7, 83",0.21883
271,77.5,0.16386
272,69.1,0.009625
273,73.1,0.026101
274,67.1,-0.043252
275,56.25,0.104983
276,"65.0763157894737, 71.9",0.213616
277,73.1,0.026101
278,"68, 69.1",0.010203
279,68.6,0.113228
280,65.0763157894737,0.01022
281,60.8,0.005872
282,"50, 56.3, 63.3, 59, 68.1",0.08349375
283,65.0763157894737,0.01022
284,"60.8, 77.2",0.302021
285,65.0763157894737,0.01022
286,79.7,0.106269
287,"61.4, 77.2",0.158716
288,79.7,0.106269
289,68.6,0.113228
290,60.8,0.005872
291,61.4,0.11136
292,65.0763157894737,0.01022
293,60.8,0.005872
294,77.2,0.049439
295,"79.7, 83",0.21883
296,"71.9, 77.2, 61.4, 70.2",0.239319230769231
297,79.7,0.106269
298,77.2,0.049439
299,72,-0.032063
300,"73.1, 65.0763157894737, 77.2",0.152816901408451
301,73.1,0.026101
302,73.1,0.026101
303,48.45,0.038279
304,"73.2, 65.3, 65, 51.9",0.212076271186441
305,48.45,0.038279
306,68,0.288284
307,65.0763157894737,0.01022
308,"77.2, 79.7",0.148328
309,60.8,0.005872
310,73.1,0.026101
311,65.4,0.023996
312,73.2,0.20085
313,60.8,0.005872
314,79.7,0.106269
315,79.7,0.106269
316,73.1,0.026101
317,79.7,0.106269
318,48.45,0.038279
319,"77.2, 34.44, 48.39, 86.4, 66.53, 79.7, 68.3, 83",0.193110526315789
320,"66.53, 79.7",0.035969
321,"61.4, 51.56, 77.2",-0.040372
322,65.0763157894737,0.01022
323,73.1,0.026101
324,"77.2, 65.3, 73.2",0.12249375
325,79.7,0.106269
326,"65.0763157894737, 79.7",0.135554
327,68.6,0.113228
328,68.6,0.113228
329,66.0842105263158,0.240416
330,"62.8125, 50",-0.089627
331,69.1,0.009625
332,69.1,0.009625
333,68,0.288284
334,77.8,-0.204998
335,"72, 77.2",0.108277
336,77.2,0.049439
337,71,0.072533
338,79.7,0.106269
339,73.1,0.026101
340,73.1,0.026101
341,68.6,0.113228
342,"65.0763157894737, 60.8",0.299652
343,61.4,0.11136
344,72.4,0.120209
345,71.88,0.131277
346,67.1,-0.043252
347,60.8,0.005872
348,77.2,0.049439
349,65.0763157894737,0.01022
350,79.7,0.106269
351,68,0.288284
352,79.7,0.106269
353,"60.8, 65.4, 77.2",0.271132
354,73.1,0.026101
355,68,0.288284
356,61.4,0.11136
357,70.2,0.148847
358,66.0842105263158,0.240416
359,"64.12, 73.1",0.255908
360,61.4,0.11136
361,60.8,0.005872
362,"77.7, 65.3, 73.2",0.231053
363,79.7,0.106269
364,48.45,0.038279
365,"77.2, 61.4",0.146978
366,"65.0763157894737, 68, 57.6",0.141314
367,71,0.072533
368,65.0763157894737,0.01022
369,68.6,0.113228
370,68.6,0.113228
371,71.9,0.094695
372,70.4,0.478005
373,79.7,0.106269
374,73.1,0.026101
375,60.8,0.005872
376,69.1,0.009625
377,68,0.288284
378,79.7,0.106269
379,65.0763157894737,0.01022
380,"73.2, 70.4, 77.8",0.0247705128205128
381,73.1,0.026101
382,68,0.288284
383,"73.2, 77.8, 68.3, 77.5",0.0761287671232877
384,73.1,0.026101
385,60.8,0.005872
386,60.8,0.005872
387,79.7,0.106269
388,68.6,0.113228
389,79.7,0.106269
390,"68, 68.2",-0.393379
391,79.7,0.106269
392,66.0842105263158,0.240416
393,"65.0763157894737, 62.8125",0.104668
394,68,0.288284
395,83,-0.042243
396,60.8,0.005872
397,73.1,0.026101
398,60.8,0.005872
399,60.8,0.005872
400,68.3,-0.108925
401,77.7,0.158627
402,73.2,0.20085
403,"72, 73.2, 71.9, 70.2, 77.2, 54",0.156222535211268
404,65.0763157894737,0.01022
405,67.1,-0.043252
406,68,0.288284
407,79.7,0.106269
408,73.2,0.20085
409,68.6,0.113228
410,48.45,0.038279
411,79.7,0.106269
412,"79.7, 67.1, 83",0.262144
413,48.45,0.038279
414,73.1,0.026101
415,73.1,0.026101
416,69.1,0.009625
417,71.1,0.160342
418,73.2,0.20085
419,51.56,-0.306933
420,64.12,0.197647
421,65.07,0.054993
422,68.6,0.113228
423,61.4,0.11136
424,66.0842105263158,0.240416
425,60.8,0.005872
426,48.45,0.038279
427,73.1,0.026101
428,60.8,0.005872
429,79.7,0.106269
430,48.45,0.038279
431,68.6,0.113228
432,70.2,0.148847
433,69.1,0.009625
434,"68, 72.4, 68.1",0.215447
435,"68.6, 77.2, 77.8",0.183532911392405
436,61.4,0.11136
437,65.0763157894737,0.01022
438,"68, 69.1",0.010203
439,73.1,0.026101
440,68.6,0.113228
441,"70.2, 63.8",0.158074
442,77.2,0.049439
443,"46.5, 72.5",0.03544
444,68.3,-0.108925
445,45.94,0.241263
446,68.6,0.113228
447,68.6,0.113228
448,79.7,0.106269
449,51.56,-0.306933
450,"71.9, 73.1",0.226097
451,48.45,0.038279
452,"71.7, 65.3, 77.2, 70.4",0.277903225806452
453,60.8,0.005872
454,64.12,0.197647
455,68.2,-0.352223
456,"73.2, 78.5, 77.8, 79.3",0.156765753424658
457,"45.94, 71.9",-0.0106322580645161
458,60.8,0.005872
459,68.3,-0.108925
460,"63.3, 68.2",0.026383
461,77.2,0.049439
462,72.5,0.053847
463,77.2,0.049439
464,79.7,0.106269
465,79.7,0.106269
466,79.7,0.106269
467,73.1,0.026101
468,73.1,0.026101
469,67.1,-0.043252
470,71.9,0.094695
471,73.1,0.026101
472,68.6,0.113228
473,"72.5, 77.7, 77.8, 51.9",0.0516910714285714
474,68,0.288284
475,77.2,0.049439
476,69.1,0.009625
477,69.1,0.009625
478,23.86,0.233491
479,"40.51, 61.11",0.0897323943661972
480,68,0.288284
481,65.4,0.023996
482,79.7,0.106269
483,"61.11, 40.51",0.0994430379746835
484,60.8,0.005872
485,79.7,0.106269
486,68,0.288284
487,"65.3, 70.2, 71.9",0.271965277777778
488,68.6,0.113228
489,60.8,0.005872
490,79.7,0.106269
491,"61.1, 55.6, 71.1, 65",0.185222222222222
492,60.8,0.005872
493,73.2,0.20085
494,"68, 69.1, 67.7",0.134638961038961
495,"73.2, 65.0763157894737, 46.5",0.184214473684211
496,77.7,0.158627
497,"69.1, 68",0.024029
498,68.6,0.113228
499,"77.8, 71.7, 72, 72.5",0.106520408163265
500,68.3,-0.108925
501,60.8,0.005872
502,77.2,0.049439
503,60.8,0.005872
504,"71.1, 47.5, 65",0.00174487179487179
505,68,0.288284
506,73.1,0.026101
507,79.7,0.106269
508,79.7,0.106269
509,73.1,0.026101
510,68.05,0.122124
511,71.9,0.094695
512,68.6,0.113228
513,60.8,0.005872
514,"65.0763157894737, 73.2",0.19699
515,"77.8, 72, 71.7, 79.3",0.0937413043478261
516,"71.9, 51.56, 61.4, 66.53",0.190045333333333
517,79.7,0.106269
518,68.6,0.113228
519,60.8,0.005872
520,83,-0.042243
521,61.4,0.11136
522,60.8,0.005872
523,"79.3, 72, 77.2, 54",0.0792217391304348
524,73.2,0.20085
525,"73.4, 61.1",-0.036183
526,77.7,0.158627
527,72,-0.032063
528,61.4,0.11136
529,68.6,0.113228
530,48.45,0.038279
531,"77.5, 51.3, 73.2, 78.5",0.159060344827586
532,"68, 73.2, 79.3, 75.6, 76, 67.7, 51.3, 65.3",0.0521828947368421
533,"71.9, 72",0.260632
534,68.6,0.113228
535,71.9,0.094695
536,"65.3, 79.7, 72, 75.6",0.188122857142857
537,"40.51, 61.11",0.0897323943661972
538,65.0763157894737,0.01022
539,"77.2, 61.4, 51.56",-0.034793
540,"68.3, 79.7",-0.006915
541,67.1,-0.043252
542,72.84,0.036889
543,68.6,0.113228
544,77.2,0.049439
545,72.84,0.036889
546,"73.2, 76, 77.2, 57.6, 60.8",0.0715178571428571
547,48.45,0.038279
548,60.8,0.005872
549,57.6,0.04147
550,66.0842105263158,0.240416
551,79.7,0.106269
552,73.1,0.026101
553,40.51,0.211499
554,68,0.288284
555,60.8,0.005872
556,60.8,0.005872
557,"79.7, 70.2",0.230966
558,60.8,0.005872
559,"65.4, 61.4",0.204768
560,"70.2, 71.9, 68.3",0.170452
561,60.8,0.005872
562,79.7,0.106269
563,77.2,0.049439
564,69.1,0.009625
565,"71.9, 65.4",0.114351
566,77.2,0.049439
567,66.53,-0.12034347826087
568,"76, 77.5, 77.8, 65.3, 68",0.0916851063829787
569,62.8125,0.060666
570,40.51,0.211499
571,65.0763157894737,0.01022
572,60.8,0.005872
573,60.8,0.005872
574,60.8,0.005872
575,"71, 77.2",0.082305
576,69.1,0.009625
577,68,0.288284
578,63.8,0.08694
579,60.8,0.005872
580,60.8,0.005872
581,60.8,0.005872
582,55.56,0.193682
583,79.7,0.106269
584,71,0.072533
585,64.12,0.155578
586,60.8,0.005872
587,60.8,0.005872
588,"65.4, 70.2, 70.4",0.243403846153846
589,61.4,0.11136
590,77.2,0.049439
591,77.8,-0.204998
592,68.6,0.113228
593,"77.2, 34.44",0.036143
594,68,0.288284
595,73.1,0.026101
596,60.8,0.005872
597,66.0842105263158,0.240416
598,79.7,0.106269
599,67.1,-0.043252
600,73.1,0.026101
601,73.1,0.026101
602,77.8,-0.204998
603,68,0.288284
604,68.6,0.113228
605,79.7,0.106269
606,"72.4, 68",0.015493
607,77.2,0.049439
608,60.8,0.005872
609,73.1,0.035542
610,68,0.288284
611,71.9,0.094695
612,"79.7, 61.4",0.250447
613,79.7,0.106269
614,"63.3, 68.1",0.00225899999999999
615,"70.4, 73.2",0.260154
616,"73.2, 72.5",0.053339
617,73.1,0.026101
618,79.7,0.106269
619,"77.8, 57.6",0.068471
620,"77.7, 72, 57.7, 71.9, 70.2",0.17581746031746
621,"59, 68, 73.4",0.0603118421052632
622,72.4,0.120209
623,65.0763157894737,0.01022
624,65.0763157894737,0.01022
625,"79.7, 71.9",0.172844
626,68,0.288284
627,48.45,0.038279
628,61.4,0.11136
629,"73.2, 75.6, 71.9",0.326433333333333
630,61.4,0.11136
631,69.1,0.009625
632,68.6,0.113228
633,65.3,0.055561
634,71.9,0.094695
635,"73.2, 72, 77.2, 71.7, 77.5, 67.7",0.0517530303030303
636,40.51,0.211499
637,60.8,0.005872
638,68.3,0.15162
639,"66.0842105263158, 77.2",0.189567
640,68.05,0.122124
641,"61.11, 40.51",0.0994430379746835
642,68,0.288284
643,65.0763157894737,0.01022
644,68.6,0.113228
645,61.4,0.11136
646,"71.9, 79.7",0.166474
647,69.1,0.009625
648,"65.3, 77.8, 72",0.050802
649,73.1,0.026101
650,68,0.288284
651,79.7,0.106269
652,"77.8, 65.3, 65",0.111212
653,72,-0.032063
654,68.6,0.113228
655,79.7,0.106269
656,"65.0763157894737, 68",0.027588
657,68,0.288284
658,68.6,0.113228
659,60.8,0.005872
660,68.6,0.113228
661,65.0763157894737,0.01022
662,73.1,0.026101
663,68.3,-0.108925
664,68.6,0.113228
665,"79.7, 83",0.21883
666,68.6,0.113228
667,61.4,0.11136
668,73.1,0.026101
669,65.3,0.055561
670,40.51,0.211499
671,"66.0842105263158, 79.7",0.280402
672,"51.3, 73.2",0.177921
673,79.7,0.106269
674,69.1,0.009625
675,"77.8, 65.3",-0.066649
676,62.8125,0.060666
677,"67.1, 79.7",-0.020754
678,48.45,0.038279
679,63.8,0.08694
680,51.3,0.08469
681,66.0842105263158,0.240416
682,65.0763157894737,0.01022
683,65.0763157894737,0.01022
684,59,0.038123
685,73.1,0.026101
686,63.3,0.140455
687,61.4,0.11136
688,73.1,0.026101
689,61.4,0.11136
690,66.53,-0.12034347826087
691,61.4,0.11136
692,68,0.288284
693,68.6,0.113228
694,63.8,0.08694
695,"65.4, 71.9",0.121789
696,"71.9, 60.8, 65.0763157894737",0.165457142857143
697,65.4,0.023996
698,60.8,0.005872
699,71.9,0.094695
700,"79.7, 83",0.21883
701,63.8,0.08694
702,73.1,0.026101
703,"71, 77.2",0.082305
704,48.45,0.038279
705,68.3,-0.108925
706,68.6,0.113228
707,60.8,0.005872
708,48.45,0.038279
709,73.1,0.026101
710,79.7,0.106269
711,69.1,0.009625
712,"72.84, 69.1",-0.0288507692307692
713,"75.6, 71.7",0.128905154639175
714,63.8,0.08694
715,79.7,0.106269
716,"61.4, 77.2",0.158716
717,73.1,0.026101
718,65.0763157894737,0.01022
719,65.4,0.023996
720,63.8,0.08694
721,66.0842105263158,0.240416
722,65.0763157894737,0.01022
723,68,0.288284
724,73.1,0.026101
725,79.7,0.106269
726,"73.1, 57.6, 71.1",-0.0260307692307692
727,79.7,0.106269
728,"71.7, 73.2, 75.6, 79.3, 77.8, 65.3",0.0536611111111111
729,60.8,0.005872
730,"68, 39.52, 58.4",0.0299346153846154
731,77.2,0.049439
732,"71.7, 69.1, 68",0.353972
733,68.6,0.113228
734,60.8,0.005872
735,68.6,0.113228
736,68.6,0.113228
737,64.12,0.197647
738,60.8,0.005872
739,64.0191489361702,0.080324
740,61.4,0.11136
741,60.8,0.005872
742,"62.8125, 72.4, 68, 63.8",-0.00792584269662921
743,77.7,0.158627
744,67.1,-0.043252
745,"70.2, 71.9",0.094055
746,79.7,0.106269
747,73.1,0.026101
748,73.1,0.026101
749,"61.4, 51.56",-0.042744
750,65.0763157894737,0.01022
751,83,-0.042243
752,73.1,0.026101
753,61.4,0.11136
754,60.8,0.005872
755,68.3,-0.108925
756,"65.0763157894737, 70.2",0.108275
757,61.4,0.11136
758,"73.2, 77.8",0.10824
759,77.7,0.158627
760,69.1,0.009625
761,73.2,0.20085
762,79.7,0.106269
763,"73.2, 65.0763157894737",0.237029
764,73.1,0.026101
765,65.0763157894737,0.01022
766,68.6,0.113228
767,"61.4, 77.2",0.158716
768,"69.1, 68",0.024029
769,79.7,0.106269
770,65.0763157894737,0.01022
771,66.53,-0.12034347826087
772,68,0.288284
773,"68.3, 71.9",0.121765
774,65.3,0.055561
775,77.2,0.049439
776,60.8,0.005872
777,65,0.159717
778,63.3294117647059,0.079029
779,79.7,0.106269
780,73.2,0.20085
781,65.0763157894737,0.01022
782,48.45,0.038279
783,"68.3, 76",0.142683
784,60.8,0.005872
785,"83, 79.7",0.208559
786,65.0763157894737,0.01022
787,66.0842105263158,0.240416
788,77.2,0.049439
789,69.1,0.009625
790,68,0.288284
791,65.0763157894737,0.01022
792,68,0.288284
793,68.6,0.113228
794,68,0.288284
795,79.7,0.106269
796,"61.4, 67.1, 70.2",0.200556
797,61.4,0.11136
798,73.1,0.026101
799,68.6,0.113228
800,61.4,0.11136
801,68.6,0.113228
802,"71.9, 60.8, 73.1",0.204820779220779
803,"57.6, 73.2",0.172785882352941
804,"77.8, 65.3, 77.7",0.015349
805,68.3,-0.108925
806,65.0763157894737,0.01022
807,70.2,0.148847
808,77.2,0.049439
809,79.7,0.106269
810,60.8,0.005872
811,68.3,-0.108925
812,73.1,0.026101
813,60.8,0.005872
814,69.1,0.009625
815,71,0.072533
816,68,0.288284
817,57.6,0.04147
818,"68, 79.7",0.153127
819,73.1,0.026101
820,68,0.288284
821,60.8,0.005872
822,72.4,0.120209
823,51.56,-0.306933
824,65.0763157894737,0.01022
825,59,0.038123
826,68,0.288284
827,65.0763157894737,0.01022
828,68.3,-0.108925
829,73.1,0.026101
830,"77.2, 60.8, 61.4, 67.1",0.249096
831,68.6,0.113228
832,"60.8, 72, 68.6, 79.7, 71.9, 77.2, 79.3, 75.6, 73.1, 70.2",0.166396721311475
833,68,0.288284
834,60.8,0.005872
835,"65, 77.2, 54, 79.3, 72, 58.5",0.0437823529411765
836,65.0763157894737,0.01022
837,83,-0.042243
838,68,0.288284
839,65.0763157894737,0.01022
840,77.2,0.049439
841,68,0.288284
842,"79.7, 83, 61.4",0.295751
843,"77.8, 77.7",0.046913
844,77.2,0.049439
845,69.1,0.009625
846,60.8,0.005872
847,65.0763157894737,0.01022
848,73.1,0.026101
849,72.4,0.120209
850,79.7,0.106269
851,"77.8, 72, 65.3, 73.2",0.133876
852,77.2,0.049439
853,79.7,0.106269
854,"68, 69.1",0.010203
855,"66.0842105263158, 65.0763157894737",0.056513
856,61.1,0.211985
857,73.1,0.026101
858,65.0763157894737,0.01022
859,"57.6, 48.5, 49, 65, 66.3, 65.3, 55.4",0.0957506666666667
860,65.3,0.055561
861,68.6,0.113228
862,"79.7, 66.53",0.05443
863,"68, 69.1",0.010203
864,60.8,0.005872
865,77.2,0.049439
866,68.05,0.122124
867,64.12,0.197647
868,60.8,0.005872
869,69.1,0.009625
870,68.3,-0.108925
871,60.8,0.005872
872,68.4,0.051536
873,60.8,0.005872
874,51.56,-0.306933
875,51.56,-0.306933
876,23.86,0.233491
877,67.1,-0.043252
878,68.05,0.122124
879,65.0763157894737,0.01022
880,65.0763157894737,0.01022
881,79.7,0.106269
882,72.84,0.036889
883,"57.2, 77.2, 61.4, 79.7",0.152312121212121
884,"51.3, 73.2",0.22465
885,"60.8, 79.3, 73.2, 72",0.11632131147541
886,77.2,0.049439
887,72.84,0.036889
888,68,0.288284
889,60.8,0.005872
890,77.8,-0.204998
891,"60.8, 73.1",0.151407
892,77.8,-0.204998
893,"68.6, 68",0.125028
894,"65.0763157894737, 77.8, 77.7",0.014197
895,51.56,-0.306933
896,73.1,0.026101
897,60.8,0.005872
898,60.8,0.005872
899,"56.3, 63.3, 68.1, 59",0.173972881355932
900,73.2,0.20085
901,68.6,0.113228
902,60.8,0.005872
903,65.0763157894737,0.01022
904,71.9,0.094695
905,79.7,0.106269
906,"68.3, 79.7",-0.006915
907,60.8,0.005872
908,68,0.288284
909,"67.1, 60.8",-0.066329
910,60.8,0.005872
911,77.2,0.049439
912,49,-0.059764
913,43.64,0.027853
914,68,0.288284
915,83,-0.042243
916,60.8,0.005872
917,60.8,0.005872
918,68,0.288284
919,48.45,0.038279
920,79.7,0.106269
921,67.1,-0.043252
922,60.8,0.005872
923,"70.4, 65.4",0.300424
924,60.8,0.005872
925,40.51,0.211499
926,"68.6, 73.1",0.108777
927,77.2,0.049439
928,60.8,0.005872
929,68.3,-0.108925
930,65.0763157894737,0.01022
931,79.7,0.106269
932,"40.51, 61.11",0.0897323943661972
933,60.8,0.005872
934,72.84,0.036889
935,68.6,0.113228
936,83,-0.042243
937,77.2,0.049439
938,"61.4, 67.1",-0.043995
939,60.8,0.005872
940,"61.4, 77.2",0.158716
941,"72.5, 73.2, 77.7, 77.8, 65.3",0.0702802631578947
942,79.7,0.106269
943,68.6,0.113228
944,61.4,0.11136
945,73.1,0.026101
946,63.8,0.08694
947,65.0763157894737,0.01022
948,77.2,0.049439
949,68,0.288284
950,60.8,0.005872
951,48.45,0.038279
952,"73.2, 77.2",0.269257142857143
953,69.1,0.009625
954,65.3,0.055561
955,71.1,0.160342
956,73.1,0.026101
957,73.1,0.026101
958,"34.44, 71.9",0.132762
959,"83, 79.7",0.208559
960,68.6,0.113228
961,"71.9, 77.2",0.269077
962,"61.11, 40.51",0.0994430379746835
963,72.84,0.036889
964,77.2,0.049439
965,60.8,0.005872
966,60.8,0.005872
967,68.6,0.113228
968,61.4,0.11136
969,79.7,0.106269
970,48.45,0.038279
971,60.8,0.005872
972,79.7,0.106269
973,79.7,0.106269
974,60.8,0.005872
975,77.7,0.158627
976,"68.1, 59, 46.23, 56.3, 63.3, 68.2, 68.4",0.114205555555556
977,67.1,-0.043252
978,68.6,0.113228
979,79.7,0.106269
980,69.1,0.009625
981,68.6,0.113228
982,66.0842105263158,0.240416
983,47.5,0.166389
984,77.8,-0.204998
985,79.7,0.106269
986,59.1,-0.029643
987,68,0.288284
988,66.0842105263158,0.240416
989,"77.2, 61.4",0.146978
990,79.7,0.106269
991,68,0.288284
992,60.8,0.005872
993,73.1,0.026101
994,79.7,0.106269
995,73.1,0.026101
996,68.6,0.113228
997,77.8,-0.204998
998,"61.11, 40.51",0.0994430379746835
999,68,0.288284
1000,68,0.288284
1001,71.1,0.160342
1002,83,-0.042243
1003,"40.51, 61.11",0.0897323943661972
1004,60.8,0.005872
1005,68.3,0.15162
1006,68,0.288284
1007,68.3,-0.108925
1008,77.2,0.049439
1009,68,0.288284
1010,69.1,0.009625
1011,65.4,0.023996
1012,68,0.288284
